,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
5705,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,Random House,A Southern woman’s search for the secrets of her mother’s past leads her to a gas station run by four girls in the Midwest during World War II.,10,4,THE+ALL-GIRL+FILLING+STATION%27S+LAST+REUNION
5708,WINNERS,Danielle Steel,Delacorte,Six people with intertwined lives struggle to surmount challenges.,16,2,WINNERS
5709,S.,Doug Dorst,"Mulholland/Little, Brown","In a project conceived by the writer and director J.J. Abrams, the facsimile of a novel published in 1949 contains marginal annotations and various objects. Two of the annotators begin to decode the novel's mystery.",10,9,S
5720,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,Harper,A small Michigan town is transformed when its residents receive phone calls said to be from heaven.,1,9,THE+FIRST+PHONE+CALL+FROM+HEAVEN
5722,DUST,Patricia Cornwell,Putnam,The murder of a computer engineer at M.I.T. leads the Massachusetts Chief Medical Examiner Kay Scarpetta in unexpected directions.,11,4,DUST
5723,WHITE FIRE,Douglas Preston and Lincoln Child,Grand Central,Special Agent Pendergast discovers that the killing of several miners 150 years ago may be related to deadly arson attacks at a Colorado ski resort. ,11,3,WHITE+FIRE
5731,TATIANA,Martin Cruz Smith,Simon & Schuster,"A dead translator’s coded notebook may hold the key to the murders of a muckraking journalist and an oligarch in the former Soviet Union. Arkady Renko, a senior investigator in the Moscow prosecutor’s office, is on the case.",12,1,TATIANA
5735,WINNERS,Danielle Steel,Delacorte,Six people with intertwined lives — among them an aspiring Olympic skier who is gravely injured — struggle to surmount challenges.,16,2,WINNERS
5739,STELLA BAIN,Anita Shreve,"Little, Brown","In Shreve's 17th novel, an American World War I nurse with amnesia is taken in by a London doctor and his family.",20,0,STELLA+BAIN
5740,TAKEDOWN TWENTY,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a mobster on the lam.,1,7,TAKEDOWN+TWENTY
5741,KING AND MAXWELL,David Baldacci,Grand Central,"Sean King and Michelle Maxwell, former Secret Service agents turned private investigators, scrutinize a soldier’s mysterious death in Afghanistan.",10,7,KING+AND+MAXWELL
5748,S.,Doug Dorst,"Mulholland/Little, Brown","In a project conceived by the writer and director J. J. Abrams, the facsimile of a novel published in 1949 encodes a mystery.",10,9,S
5750,WHITE FIRE,Douglas Preston and Lincoln Child,Grand Central,Special Agent Pendergast discovers that long-ago killings may be related to arson at a Colorado ski resort. ,11,3,WHITE+FIRE
5759,DOG SONGS,Mary Oliver,Penguin Press,"The dogs who have shared the life of the Pulitzer Prize-winning poet, in 35 poems and an essay. Originally published in 2013.",16,1,DOG+SONGS
5760,CROSS MY HEART,James Patterson,"Little, Brown",Alex Cross’s family is threatened by a genius intent on proving that he is the greatest mind in the history of crime. ,1,9,CROSS+MY+HEART
5764,KING AND MAXWELL,David Baldacci,Grand Central,"Sean King and Michelle Maxwell, former Secret Service agents turned private investigators, scrutinize the report of a soldier’s mysterious death in Afghanistan.",10,7,KING+AND+MAXWELL
5769,THE SUPREME MACARONI COMPANY,Adriana Trigiani,Harper,"Tensions arise when Valentine Roncalli, a Greenwich Village shoe designer, marries a handsome Italian, and the two must balance careers, countries and families. The final book in the Valentine trilogy. ",10,1,THE+SUPREME+MACARONI+COMPANY
5775,MIRAGE,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon investigate the disappearance of an American destroyer in 1943.,12,3,MIRAGE
5777,WE ARE WATER,Wally Lamb,Harper,"About to marry the woman who is her gallery owner, a divorced artist and mother must confront secrets from her past. ",11,5,WE+ARE+WATER
5780,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,Putnam,"President Jack Ryan and his son, a covert intelligence expert, try to counter a Russian threat in Tom Clancy’s last novel before his death.",1,9,COMMAND+AUTHORITY
5782,THE GODS OF GUILT,Michael Connelly,"Little, Brown","Mickey Haller, a.k.a. the Lincoln lawyer, defends a “digital pimp” accused of murder. Outside the courtroom, he confronts killers, crooked cops and an angry daughter.",10,9,THE+GODS+OF+GUILT
5790,S.,Doug Dorst,"Mulholland/Little, Brown","In a project conceived by the writer and director J. J. Abrams, the facsimile of a novel published in 1949 contains marginal annotations, postcards, newspaper clippings and other objects. Two of the annotators are students who flirt and spar and begin to decode the novel’s mystery.",10,9,S
5795,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,Random House,An Alabama woman's search for her true identity takes her all the way to Wisconsin and into the lives of four sisters who ran their father’s gas station during World War II.,10,4,THE+ALL-GIRL+FILLING+STATION%27S+LAST+REUNION
5796,THE SUPREME MACARONI COMPANY,Adriana Trigiani,Harper,"Tensions arise when Valentine Roncalli, a Greenwich Village shoe designer, marries a handsome Italian, and the two must balance careers, countries and families. The final book in the Valentine trilogy.",10,1,THE+SUPREME+MACARONI+COMPANY
5797,DANGEROUS WOMEN,edited  George R R Martin and Gardner Dozois,Tor/Tom Doherty,,18,0,DANGEROUS+WOMEN
5799,THE SIGNATURE OF ALL THINGS,Elizabeth Gilbert,Viking,"A 19th-century botanist’s pursuits take her to Tahiti and deep into the mysteries of evolution; by the author of “Eat, Pray, Love.”",11,5,THE+SIGNATURE+OF+ALL+THINGS
5808,INNOCENCE,Dean Koontz,Bantam,A grotesque man living in exile beneath the city encounters a teenage girl hiding from dangerous enemies.,12,4,INNOCENCE
5816,DUST,Patricia Cornwell,Putnam,"The murder of a computer engineer at M.I.T. leads Kay Scarpetta, the chief medical examiner of Massachusetts, in unexpected directions.",11,4,DUST
5838,THE CIRCLE,Dave Eggers,Knopf/McSweeney's,"A dystopian novel about life on the campus of a powerful Internet company, whose credo is “All that happens must be known.”",10,4,THE+CIRCLE
5839,W IS FOR WASTED,Sue Grafton,Marian Wood/Putnam,"Kinsey Millhone investigates two seemingly unrelated deaths: The first victim was a shady P.I.; the second, a homeless man who’s left Kinsey $600,000.",1,5,W+IS+FOR+WASTED
5849,THE GODS OF GUILT,Michael Connelly,"Little, Brown","Mickey Haller, a.k.a. the Lincoln lawyer, defends a “digital pimp” accused of murder.",10,9,THE+GODS+OF+GUILT
5862,HAZARDOUS DUTY,W E B Griffin and William E Butterworth IV,Putnam,"Despite their antipathy, the president calls on Charley Castillo to take action against Mexican drug cartels and Somali pirates. ",17,2,HAZARDOUS+DUTY
5863,THE FIRST PHONE CALL FROM HEAVEN,Mitch Albom,Harper,A small Michigan town is transformed when its residents receive phone calls said to be from heaven. Is it a miracle or a hoax?,1,9,THE+FIRST+PHONE+CALL+FROM+HEAVEN
5870,THE DEATH TRADE,Jack Higgins,Putnam,"Sean Dillon, an intelligence captain named Sara Gideon, and the rest of the small band known as the “Prime Minister’s private army” attempt to help an Iranian nuclear scientist who wants to escape the regime.",11,1,THE+DEATH+TRADE
5880,THE INVENTION OF WINGS,Sue Monk Kidd,Viking,"The relationship between a wealthy Charleston girl, Sarah Grimké, who will grow up to become a prominent abolitionist, and the slave she is given for her 11th birthday. ",1,9,THE+INVENTION+OF+WINGS
5882,DARK WOLF,Christine Feehan,Berkley,The 25th book in the Carpathian series follows the story of Skyler Daratrazanoff and Dimitri Tirunul begun in “Dark Lycan.” ,20,1,DARK+WOLF
5883,STANDUP GUY,Stuart Woods,Putnam,"In the 28th Stone Barrington novel, the New York lawyer takes on a complicated new client.",12,4,STANDUP+GUY
5886,THE PAGAN LORD,Bernard Cornwell,Harper,The fate of the English nation is at stake as the Saxon kingdom battles the Danes in the early 10th century.,7,1,THE+PAGAN+LORD
5888,FEAR NOTHING,Lisa Gardner,Dutton,"The Boston detective D. D. Warren, seriously injured at a crime scene, is treated by a pain therapist whose father was a serial killer.",10,2,FEAR+NOTHING
5889,RIVER ROAD,Jayne Ann Krentz,Putnam,"When Lucy Sheridan returns to the California town of Summer River after her aunt’s death, she discovers that the events of her last visit there were more complicated than she knew.",10,1,RIVER+ROAD
5893,THE GODS OF GUILT,Michael Connelly,"Little, Brown","Mickey Haller, a.k.a. the Lincoln lawyer, defends a “digital pimp” accused of murder and confronts an angry daughter.",10,9,THE+GODS+OF+GUILT
5896,ROBERT B. PARKER'S BULL RIVER,Robert Knott,Putnam,,17,0,ROBERT+B.+PARKER%27S+BULL+RIVER
5898,TAKEDOWN TWENTY,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a powerful mobster on the lam. ,1,7,TAKEDOWN+TWENTY
5899,THE LONGEST RIDE,Nicholas Sparks,Grand Central,"The lives of two couples converge unexpectedly. While 91-year-old Ira is visited by his beloved wife (who passed away years earlier), Sophia, a college student, is enthralled by a young cowboy.",1,9,THE+LONGEST+RIDE
5902,FIRST LOVE,James Patterson and Emily Raymond,"Little, Brown","Sixteen-year-old Axi Moore invites her best friend, whom she secretly loves, on a cross-country road trip.",11,5,FIRST+LOVE
5905,THE DEAD IN THEIR VAULTED ARCHES,Alan Bradley,Delacorte,"The chemist Flavia de Luce, 11, receives a cryptic message from a stranger who is then pushed to his death.",6,1,THE+DEAD+IN+THEIR+VAULTED+ARCHES
5912,MRS. LINCOLN'S RIVAL,Jennifer Chiaverini,Dutton,The political and social competition between Mary Todd Lincoln and the Washington hostess Kate Chase Sprague.,13,1,MRS.+LINCOLN%27S+RIVAL
5913,SAINTS OF THE SHADOW BIBLE,Ian Rankin,"Little, Brown","The Edinburgh homicide detective John Rebus is back on the job and involved in two investigations, one old and one new.",14,1,SAINTS+OF+THE+SHADOW+BIBLE
5918,THE POLARIS PROTOCOL,Brad Taylor,Dutton,"Taskforce operators Pike Logan and Jennifer Cahill go up against a Mexican drug cartel, and uncover a plot much more insidious than drug trafficking.",19,0,THE+POLARIS+PROTOCOL
5919,DARK WOLF,Christine Feehan,Berkley,"Marked for extermination by the Lycans, the Carpathian Dimitri finds himself alone. But Skyler, an untested teenage girl, is determined to mount a secret rescue operation.",20,1,DARK+WOLF
5922,FIRST LOVE,James Patterson and Emily Raymond,"Little, Brown","Sixteen-year-old Axi Moore invites her best friend, whom she secretly loves, on a road trip.",11,5,FIRST+LOVE
5924,LOST LAKE,Sarah Addison Allen,St. Martin's,Characters gather at a lake in Southern Georgia.,16,2,LOST+LAKE
5926,THE DAYS OF ANNA MADRIGAL,Armistead Maupin,Harper,"In the ninth and final book in the Tales of the City series, the transgender former landlady of 28 Barbary Lane, age 92, attends to unfinished business.",12,3,THE+DAYS+OF+ANNA+MADRIGAL
5928,UNDER THE WIDE AND STARRY SKY,Nancy Horan,Ballantine,A novel about Robert Louis Stevenson’s troubled marriage.,10,3,UNDER+THE+WIDE+AND+STARRY+SKY
5929,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,Putnam,"President Jack Ryan and his son, a covert intelligence expert, try to counter a Russian threat.",1,9,COMMAND+AUTHORITY
5935,HUNTING SHADOWS,Charles Todd,Morrow/HarperCollins," In the aftermath of World War I, a Scotland Yard detective with a heavy burden of guilt, investigates two murders in Cambridgeshire that may be linked.",16,1,HUNTING+SHADOWS
5938,DARK BITES,Sherrilyn Kenyon,St. Martin's,,19,0,DARK+BITES
5942,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,Random House,An aging photographer rents a rural cottage and discovers sparks of creativity and desire.,11,7,STILL+LIFE+WITH+BREAD+CRUMBS
5947,AN OFFICER AND A SPY,Robert Harris,Knopf,"A fictionalized account of the Dreyfus Affair focuses on Lt. Col. Georges Picquart, who discovered evidence exonerating Dreyfus and bravely defended him.",14,3,AN+OFFICER+AND+A+SPY
5956,RIPPER,Isabel Allende,Harper,"A brilliant young woman who loves to play an online mystery game becomes involved in an investigation of a series of murders, which becomes personal when her mother disappears.  ",15,1,RIPPER
5957,TIGER SHRIMP TANGO,Tim Dorsey,Morrow,,18,0,TIGER+SHRIMP+TANGO
5958,CROSS MY HEART,James Patterson,"Little, Brown",Detective Alex Cross’s family is threatened by an adversary intent on proving that he is the greatest mind in the history of crime.,1,9,CROSS+MY+HEART
5959,RED RISING,Pierce Brown,Del Rey,A viciously oppressive class system on Mars kindles a revolution; the first book in a trilogy.,20,0,RED+RISING
5963,ONE MORE THING,B J Novak,Knopf,Humorous stories from the writer and actor (“The Office”).,12,6,ONE+MORE+THING
5970,CELL,Robin Cook,Putnam,A medical app called iDoc seems to be killing patients; has it been hacked?,11,1,CELL
5972,CONFESSIONS OF A WILD CHILD,Jackie Collins,St. Martin's,The early years of Collins’s recurring character Lucky Santangelo.,13,1,CONFESSIONS+OF+A+WILD+CHILD
5976,SOMERSET,Leila Meacham,Grand Central,,16,0,SOMERSET
5977,DO OR DIE,Suzanne Brockmann,Ballantine,,18,0,DO+OR+DIE
5978,COMMAND AUTHORITY,Tom Clancy with Mark Greaney,Putnam,"In Clancy’s last novel before his death, President Jack Ryan and his son, a covert intelligence expert, try to counter a Russian threat.",1,9,COMMAND+AUTHORITY
5980,PRIVATE L.A.,James Patterson and Mark Sullivan,"Little, Brown",Shocking truths emerge after a high-powered celebrity couple disappear from their luxurious ranch and Jack Morgan and Justine Smith are secretly flown in to search for them.,1,5,PRIVATE+L.A
5982,KILLER,Jonathan Kellerman,Ballantine,The psychologist and police consultant Alex Delaware becomes embroiled in a child custody dispute that escalates into murder.,11,4,KILLER
5987,THE COUNTERFEIT AGENT,Alex Berenson,Putnam,John Wells is sent on a mission to find the truth about a mysterious Iranian package said to be bound for the United States.,13,2,THE+COUNTERFEIT+AGENT
5991,THE MARTIAN,Andy Weir,Crown,"After being left behind by his crew, an astronaut embarks on a dogged quest to stay alive.",11,4,THE+MARTIAN
5996,THE WINTER PEOPLE,Jennifer McMahon,Doubleday,,17,0,THE+WINTER+PEOPLE
5997,AFTER I'M GONE,Laura Lippman,Morrow,,18,0,AFTER+I%27M+GONE
5999,THE FOREVER GIRL,Alexander McCall Smith,Pantheon,,20,0,THE+FOREVER+GIRL
6000,CONCEALED IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas is on the case when the demolition of a building that once sheltered troubled teenagers reveals skeletons hidden in the walls; by Nora Roberts, writing pseudonymously.  ",1,4,CONCEALED+IN+DEATH
6004,LIKE A MIGHTY ARMY,David Weber,Tor/Tom Doherty,"In Book 7 of the Safehold science fiction series, the empire of Charis fights for self-determination. ",5,1,LIKE+A+MIGHTY+ARMY
6009,MOVING TARGET,J A Jance,Touchstone,Ali Reynolds discovers a connection between an attack on a jailed computer hacker and a cold-case murder in Britain.,10,1,MOVING+TARGET
6014,THE MUSEUM OF EXTRAORDINARY THINGS,Alice Hoffman,Scribner,A romance between the daughter of the owner of a Coney Island freak show and an immigrant photographer in early-20th-century New York.,14,2,THE+MUSEUM+OF+EXTRAORDINARY+THINGS
6018,FIRST LOVE,James Patterson and Emily Raymond,"Little, Brown","Axi Moore invites her best friend, whom she secretly loves, on a cross-country road trip.",11,5,FIRST+LOVE
6020,THE UNDEAD POOL,Kim Harrison,HarperVoyager,The witch Rachel Morgan must prevent all-out supernatural war; the 12th book in the Hollows series.,1,2,THE+UNDEAD+POOL
6022,THE CHASE,Janet Evanovich and Lee Goldberg,Bantam,Nicolas Fox (a handsome con man) and Kate O’Hare (an F.B.I. agent) team up to steal back a Chinese artifact taken from the Smithsonian.,10,3,THE+CHASE
6023,PRIVATE L.A.,James Patterson and Mark Sullivan,"Little, Brown",Jack Morgan and Justine Smith search for a celebrity couple who disappear from their luxurious ranch.,1,5,PRIVATE+L.A
6026,BLACKBERRY PIE MURDER,Joanne Fluke,Kensington,The Minnesota baker Hannah Swensen accidentally hits a stranger with her cookie truck; his shirt is mysteriously stained with blackberry pie. Recipes included.,7,1,BLACKBERRY+PIE+MURDER
6030,KILLER,Jonathan Kellerman,Ballantine,The psychologist and police consultant Alex Delaware becomes embroiled in a murderous child custody dispute.,11,4,KILLER
6031,THE MARTIAN,Andy Weir,Crown,"Abandoned by his crew, an astronaut embarks on a dogged quest to stay alive.",11,4,THE+MARTIAN
6032,BARK,Lorrie Moore,Knopf,Moore’s first story collection in 16 years.,13,1,BARK
6033,THE MUSEUM OF EXTRAORDINARY THINGS,Alice Hoffman,Scribner,A romance featuring the daughter of the owner of a Coney Island freak show and an immigrant photographer in early-20th-century New York.,14,2,THE+MUSEUM+OF+EXTRAORDINARY+THINGS
